,,,,,,,,,,,,,,,,,,
VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-01-15 19:05:39,2015-01-15 19:23:42,1,1.59,-73.993896484375,40.750110626220700,1,N,-73.974784851074200,40.750617980957000,1,12,1,0.5,3.25,0,0.3,17.05
1,2015-01-10 20:33:38,2015-01-10 20:53:28,1,3.30,-74.00164794921880,40.7242431640625,1,N,-73.994415283203100,40.759109497070300,1,14.5,0.5,0.5,2,0,0.3,17.8
1,2015-01-10 20:33:38,2015-01-10 20:43:41,1,1.80,-73.963340759277300,40.802787780761700,1,N,-73.951820373535200,40.824413299560500,2,9.5,0.5,0.5,0,0,0.3,10.8
1,2015-01-10 20:33:39,2015-01-10 20:35:31,1,0.50,-74.009086608886700,40.713817596435500,1,N,-74.004325866699200,40.719985961914100,2,3.5,0.5,0.5,0,0,0.3,4.8
1,2015-01-10 20:33:39,2015-01-10 20:52:58,1,3.00,-73.971176147460900,40.762428283691400,1,N,-74.004180908203100,40.742652893066400,2,15,0.5,0.5,0,0,0.3,16.3
1,2015-01-10 20:33:39,2015-01-10 20:53:52,1,9.00,-73.874374389648400,40.7740478515625,1,N,-73.986976623535200,40.758193969726600,1,27,0.5,0.5,6.7,5.33,0.3,40.33
1,2015-01-10 20:33:39,2015-01-10 20:58:31,1,2.20,-73.9832763671875,40.726009368896500,1,N,-73.992469787597700,40.7496337890625,2,14,0.5,0.5,0,0,0.3,15.3
1,2015-01-10 20:33:39,2015-01-10 20:42:20,3,0.80,-74.002662658691400,40.734142303466800,1,N,-73.995010375976600,40.726325988769500,1,7,0.5,0.5,1.66,0,0.3,9.96
1,2015-01-10 20:33:39,2015-01-10 21:11:35,3,18.20,-73.783042907714800,40.644355773925800,2,N,-73.987594604492200,40.759357452392600,2,52,0,0.5,0,5.33,0.3,58.13
1,2015-01-10 20:33:40,2015-01-10 20:40:44,2,0.90,-73.985588073730500,40.767948150634800,1,N,-73.985916137695300,40.759365081787100,1,6.5,0.5,0.5,1.55,0,0.3,9.35
1,2015-01-10 20:33:40,2015-01-10 20:41:39,1,0.90,-73.988616943359400,40.723102569580100,1,N,-74.00439453125,40.728584289550800,1,7,0.5,0.5,1.66,0,0.3,9.96
1,2015-01-10 20:33:41,2015-01-10 20:43:26,1,1.10,-73.993782043457000,40.751419067382800,1,N,-73.9674072265625,40.757217407226600,1,7.5,0.5,0.5,1,0,0.3,9.8
1,2015-01-10 20:33:41,2015-01-10 20:35:23,1,0.30,-74.00836181640630,40.704376220703100,1,N,-74.009773254394500,40.707725524902300,2,3,0.5,0.5,0,0,0.3,4.3
1,2015-01-10 20:33:41,2015-01-10 21:03:04,1,3.10,-73.973945617675800,40.760448455810500,1,N,-73.997344970703100,40.735210418701200,1,19,0.5,0.5,3,0,0.3,23.3
1,2015-01-10 20:33:41,2015-01-10 20:39:23,1,1.10,-74.006721496582000,40.731777191162100,1,N,-73.995216369628900,40.739894866943400,2,6,0.5,0.5,0,0,0.3,7.3
2,2015-01-15 19:05:39,2015-01-15 19:32:00,1,2.38,-73.976425170898400,40.739810943603500,1,N,-73.983978271484400,40.757888793945300,1,16.5,1,0.5,4.38,0,0.3,22.68
2,2015-01-15 19:05:40,2015-01-15 19:21:00,5,2.83,-73.968704223632800,40.754245758056600,1,N,-73.955123901367200,40.786857604980500,2,12.5,1,0.5,0,0,0.3,14.3
2,2015-01-15 19:05:40,2015-01-15 19:28:18,5,8.33,-73.863059997558600,40.769580841064500,1,N,-73.952713012695300,40.785781860351600,1,26,1,0.5,8.08,5.33,0.3,41.21
2,2015-01-15 19:05:41,2015-01-15 19:20:36,1,2.37,-73.945541381835900,40.779422760009800,1,N,-73.980850219726600,40.786083221435500,1,11.5,1,0.5,0,0,0.3,13.3
2,2015-01-15 19:05:41,2015-01-15 19:20:22,2,7.13,-73.874458312988300,40.774009704589800,1,N,-73.952377319335900,40.718589782714800,1,21.5,1,0.5,4.5,0,0.3,27.8
2,2015-01-15 19:05:41,2015-01-15 19:31:00,1,3.60,-73.976600646972700,40.751895904541000,1,N,-73.998924255371100,40.714595794677700,2,17.5,1,0.5,0,0,0.3,19.3
2,2015-01-15 19:05:41,2015-01-15 19:10:22,1,0.89,-73.994956970214800,40.745079040527300,1,N,-73.99993896484380,40.734649658203100,1,5.5,1,0.5,1.62,0,0.3,8.92
2,2015-01-15 19:05:41,2015-01-15 19:10:55,1,0.96,-74.000938415527300,40.747062683105500,1,N,-74.003562927246100,40.735511779785200,1,5.5,1,0.5,1.3,0,0.3,8.6
2,2015-01-15 19:05:41,2015-01-15 19:12:36,2,1.25,-74.002777099609400,40.717891693115200,1,N,-74.007919311523400,40.704219818115200,1,6.5,1,0.5,1.5,0,0.3,9.8
2,2015-01-15 19:05:41,2015-01-15 19:22:11,5,2.11,-73.997459411621100,40.736362457275400,1,N,-73.978172302246100,40.761856079101600,1,11.5,1,0.5,2.5,0,0.3,15.8
2,2015-01-15 19:05:41,2015-01-15 19:14:05,5,1.15,-73.952278137207000,40.823993682861300,1,N,-73.953338623046900,40.811088562011700,1,7.5,1,0.5,1.7,0,0.3,11
2,2015-01-15 19:05:42,2015-01-15 19:16:18,1,1.53,-73.991127014160200,40.750080108642600,1,N,-73.988609313964800,40.734889984130900,2,9,1,0.5,0,0,0.3,10.8
2,2015-01-15 19:05:42,2015-01-15 19:49:07,1,18.06,-73.786575317382800,40.644126892089800,2,N,-73.985603332519500,40.7435302734375,1,52,0,0.5,6,5.33,0.3,64.13
2,2015-01-15 19:05:42,2015-01-15 19:18:33,1,1.76,-73.993667602539100,40.741447448730500,1,N,-73.994514465332000,40.757720947265600,1,10,1,0.5,2.36,0,0.3,14.16
2,2015-01-15 19:05:42,2015-01-15 19:21:40,6,5.19,-73.98529052734380,40.744083404541000,1,N,-74.009078979492200,40.704689025878900,1,17.5,1,0.5,3.7,0,0.3,23
2,2015-01-15 19:05:42,2015-01-15 19:14:23,1,1.38,-73.969772338867200,40.785610198974600,1,N,-73.950706481933600,40.774681091308600,1,7.5,1,0.5,1.7,0,0.3,11
2,2015-01-15 19:05:43,2015-01-15 19:05:44,2,0.01,0,0,5,N,0,0,1,60,0,0,0,0,0.3,60.3
2,2015-01-15 19:05:43,2015-01-15 19:17:43,2,2.23,-73.985092163085900,40.756988525390600,1,N,-73.984878540039100,40.7801513671875,1,10,1,0.5,2.2,0,0.3,14
2,2015-01-15 19:05:43,2015-01-15 19:15:17,1,1.56,-73.966163635253900,40.762161254882800,1,N,-73.950050354003900,40.776252746582000,1,8,1,0.5,1.8,0,0.3,11.6
2,2015-01-15 19:05:43,2015-01-15 19:15:09,5,1.57,-73.978424072265600,40.746208190918000,1,N,-73.980216979980500,40.728542327880900,1,8,1,0.5,1.8,0,0.3,11.6
2,2015-01-15 19:05:44,2015-01-15 19:17:44,1,2.92,-73.99835205078130,40.72003173828130,1,N,-73.955825805664100,40.715599060058600,1,12.5,1,0.5,2.7,0,0.3,17
1,2015-01-10 19:12:21,2015-01-10 19:31:33,1,2.90,-74.0030517578125,40.727718353271500,1,N,-73.976036071777300,40.763969421386700,2,13.5,0,0.5,0,0,0.3,14.3
1,2015-01-10 19:12:21,2015-01-10 19:46:08,1,16.40,-73.977096557617200,40.763172149658200,2,N,-73.79071044921880,40.644275665283200,1,52,0,0.5,10,0,0.3,62.8
2,2015-01-25 00:13:04,2015-01-25 00:13:18,1,0.02,-73.99481201171880,40.727741241455100,1,N,-73.996940612793000,40.725559234619100,2,2.5,0.5,0.5,0,0,0.3,3.8
2,2015-01-25 00:13:05,2015-01-25 00:29:11,1,1.73,-73.985939025878900,40.726764678955100,1,N,-74.006546020507800,40.737865447998000,2,11,0.5,0.5,0,0,0.3,12.3
2,2015-01-25 00:13:05,2015-01-25 00:25:43,1,2.25,-73.979988098144500,40.743274688720700,1,N,-74.008087158203100,40.739055633544900,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2015-01-25 00:13:05,2015-01-25 00:25:50,1,3.53,-73.988967895507800,40.7216796875,1,N,-73.978729248046900,40.762470245361300,2,12.5,0.5,0.5,0,0,0.3,13.8
2,2015-01-25 00:13:06,2015-01-25 00:23:26,1,2.01,-73.948684692382800,40.782360076904300,1,N,-73.957084655761700,40.801990509033200,1,9.5,0.5,0.5,2.16,0,0.3,12.96
2,2015-01-25 00:13:06,2015-01-25 00:24:51,1,3.37,-73.945510864257800,40.773723602294900,1,N,-73.987434387207000,40.755706787109400,1,12.5,0.5,0.5,0,0,0.3,13.8
2,2015-01-25 00:13:06,2015-01-25 00:22:20,1,1.35,-73.933944702148400,40.762851715087900,1,N,-73.917022705078100,40.770946502685500,1,8,0.5,0.5,0.7,0,0.3,10
2,2015-01-25 00:13:06,2015-01-25 00:18:30,1,1.18,-73.983024597168000,40.767818450927700,1,N,-73.968307495117200,40.763149261474600,1,6,0.5,0.5,1.8,0,0.3,9.1
2,2015-01-25 00:13:06,2015-01-25 00:21:15,5,2.05,-73.990959167480500,40.734821319580100,1,N,-73.990730285644500,40.75537109375,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2015-01-25 00:13:06,2015-01-25 00:34:32,1,3.05,-73.99163818359380,40.727088928222700,1,N,-73.951713562011700,40.714778900146500,1,16.5,0.5,0.5,5.34,0,0.3,23.14
2,2015-01-25 00:13:07,2015-01-25 00:27:08,4,3.06,-73.992637634277300,40.723793029785200,1,N,-73.96405029296880,40.756866455078100,1,12.5,0.5,0.5,2.76,0,0.3,16.56
2,2015-01-25 00:13:07,2015-01-25 00:15:39,1,0.49,-73.986160278320300,40.75994873046880,1,N,-73.983604431152300,40.763938903808600,2,4,0.5,0.5,0,0,0.3,5.3
2,2015-01-25 00:13:07,2015-01-25 00:24:59,1,2.60,-73.948478698730500,40.782478332519500,1,N,-73.971534729003900,40.800338745117200,1,11,0.5,0.5,1.5,0,0.3,13.8
2,2015-01-25 00:13:07,2015-01-25 00:41:19,1,6.17,-74.001632690429700,40.740936279296900,1,N,-73.919807434082000,40.743080139160200,1,24,0.5,0.5,2.7,0,0.3,28
2,2015-01-25 00:13:08,2015-01-25 00:34:57,1,3.72,-73.975341796875,40.789878845214800,1,N,-74.005043029785200,40.741191864013700,1,16.5,0.5,0.5,3.56,0,0.3,21.36
2,2015-01-25 00:13:08,2015-01-25 00:18:57,1,1.10,-73.979881286621100,40.746246337890600,1,N,-73.987663269043000,40.732673645019500,2,6,0.5,0.5,0,0,0.3,7.3
2,2015-01-25 00:13:09,2015-01-25 00:21:38,2,2.63,-73.992828369140600,40.701484680175800,1,N,-73.992904663085900,40.719978332519500,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,2015-01-25 00:13:09,2015-01-25 00:22:51,2,2.22,-73.992530822753900,40.724460601806600,1,N,-74.010894775390600,40.703266143798800,1,9.5,0.5,0.5,2.7,0,0.3,13.5
2,2015-01-25 00:13:09,2015-01-25 00:20:30,1,1.79,-73.9556884765625,40.772468566894500,1,N,-73.974380493164100,40.756671905517600,1,8,0.5,0.5,2.79,0,0.3,12.09
2,2015-01-25 00:13:09,2015-01-25 00:24:28,1,1.14,-73.993110656738300,40.724288940429700,1,N,-74.0009765625,40.735221862793000,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2015-01-25 00:13:09,2015-01-25 01:02:40,1,10.20,-73.997611999511700,40.762241363525400,1,N,-73.908576965332000,40.690048217773400,2,39,0.5,0.5,0,0,0.3,40.3
2,2015-01-04 13:44:51,2015-01-04 13:53:27,5,1.48,-73.986351013183600,40.759376525878900,1,N,-73.996246337890600,40.746711730957000,1,7.5,0,0.5,1.5,0,0.3,9.8
2,2015-01-04 13:44:51,2015-01-04 13:45:03,1,0.03,-73.944511413574200,40.794567108154300,1,N,-73.9447021484375,40.794334411621100,2,2.5,0,0.5,0,0,0.3,3.3
1,2015-01-04 13:44:52,2015-01-04 13:56:49,1,2.50,0,0,1,N,0,0,1,11,0,0.5,2.35,0,0,14.15
2,2015-01-04 13:44:52,2015-01-04 13:46:38,1,0.36,-73.991249084472700,40.765460968017600,1,N,-73.987533569335900,40.768409729003900,2,3.5,0,0.5,0,0,0.3,4.3
2,2015-01-04 13:44:52,2015-01-04 13:56:58,3,3.14,-73.977943420410200,40.684871673584000,1,N,-73.996490478515600,40.725509643554700,1,12.5,0,0.5,2.5,0,0.3,15.8
2,2015-01-04 13:44:52,2015-01-04 13:53:17,1,1.14,-73.990951538085900,40.750808715820300,1,N,-73.979408264160200,40.741260528564500,1,7,0,0.5,1.4,0,0.3,9.2
2,2015-01-04 13:44:52,2015-01-04 14:04:23,1,8.98,-73.871002197265600,40.773792266845700,1,N,-73.96136474609380,40.770042419433600,1,27,0,0.5,0,5.33,0.3,33.13
2,2015-01-04 13:44:52,2015-01-04 13:49:03,1,0.85,0,0,1,N,0,0,2,5.5,0,0.5,0,0,0.3,6.3
1,2015-01-04 13:44:53,2015-01-04 13:49:40,2,0.70,-73.994735717773400,40.740093231201200,1,N,-73.998313903808600,40.736244201660200,2,5,0,0.5,0,0,0,5.8
1,2015-01-04 13:44:53,2015-01-04 13:51:53,3,1.50,-74.014205932617200,40.712089538574200,1,N,-74.0010986328125,40.724128723144500,2,7.5,0,0.5,0,0,0,8.3
2,2015-01-04 13:44:53,2015-01-04 13:55:07,2,1.26,-73.97955322265630,40.766265869140600,1,N,-73.983383178710900,40.755313873291000,2,8.5,0,0.5,0,0,0.3,9.3
2,2015-01-04 13:44:53,2015-01-04 13:51:26,1,1.56,-73.957786560058600,40.774585723877000,1,N,-73.972236633300800,40.756885528564500,1,7,0,0.5,1,0,0.3,8.8
1,2015-01-04 13:44:54,2015-01-04 13:53:36,1,1.50,-73.969406127929700,40.798587799072300,1,N,-73.971885681152300,40.781940460205100,1,8,0,0.5,1.75,0,0,10.55
1,2015-01-04 13:44:54,2015-01-04 13:50:29,1,1.10,-73.967979431152300,40.802135467529300,1,N,-73.977684020996100,40.787265777587900,1,6.5,0,0.5,2,0,0,9.3
1,2015-01-04 13:44:54,2015-01-04 13:47:15,1,0.50,-73.962516784668000,40.770038604736300,1,N,-73.967735290527300,40.762855529785200,1,4,0,0.5,1,0,0,5.8
2,2015-01-04 13:44:54,2015-01-04 14:02:23,2,8.79,-73.964202880859400,40.773368835449200,1,N,-73.870635986328100,40.773834228515600,1,26,0,0.5,4,5.33,0.3,36.13
2,2015-01-04 13:44:54,2015-01-04 13:53:15,1,1.39,-73.986251831054700,40.730438232421900,1,N,-73.991218566894500,40.742168426513700,2,7.5,0,0.5,0,0,0.3,8.3
2,2015-01-15 14:00:41,2015-01-15 14:11:18,1,1.64,-73.983726501464800,40.746341705322300,1,N,-73.966796875,40.761405944824200,2,8.5,0,0.5,0,0,0.3,9.3
2,2015-01-15 14:00:41,2015-01-15 14:19:26,1,1.53,-73.995780944824200,40.732940673828100,1,N,-73.991073608398400,40.750381469726600,2,12,0,0.5,0,0,0.3,12.8
2,2015-01-15 14:00:41,2015-01-15 14:31:42,5,7.48,-73.870819091796900,40.773700714111300,1,N,-73.968696594238300,40.762680053710900,2,27,0,0.5,0,0,0.3,27.8
2,2015-01-15 14:00:41,2015-01-15 14:13:48,1,3.00,-73.964271545410200,40.773021697998000,1,N,-73.965774536132800,40.804668426513700,2,12,0,0.5,0,0,0.3,12.8
2,2015-01-15 14:00:42,2015-01-15 14:05:01,1,0.67,-73.970932006835900,40.795921325683600,1,N,-73.970169067382800,40.78912353515630,1,5,0,0.5,1,0,0.3,6.8
2,2015-01-15 14:00:42,2015-01-15 14:20:40,1,1.51,-73.972122192382800,40.759029388427700,1,N,-73.990936279296900,40.7557373046875,1,13,0,0.5,2.6,0,0.3,16.4
2,2015-01-15 14:00:42,2015-01-15 14:05:16,2,0.85,-73.980567932128900,40.765651702880900,1,N,-73.973045349121100,40.758270263671900,2,5.5,0,0.5,0,0,0.3,6.3
2,2015-01-15 14:00:43,2015-01-15 14:58:40,1,15.20,-73.801261901855500,40.667728424072300,2,N,-73.993354797363300,40.756000518798800,1,52,0,0.5,14.33,5.33,0.3,72.46
2,2015-01-15 14:00:43,2015-01-15 14:41:50,3,9.96,-73.990959167480500,40.745342254638700,1,N,-73.973602294921900,40.632480621337900,2,35.5,0,0.5,0,0,0.3,36.3
2,2015-01-15 14:00:44,2015-01-15 14:04:55,1,0.76,-73.963516235351600,40.771560668945300,1,N,-73.952987670898400,40.7724609375,1,5,0,0.5,1,0,0.3,6.8
2,2015-01-15 14:00:44,2015-01-15 14:04:06,1,0.38,-73.991386413574200,40.770168304443400,1,N,-73.989784240722700,40.774738311767600,2,4,0,0.5,0,0,0.3,4.8
2,2015-01-15 14:00:45,2015-01-15 14:05:40,2,0.63,-73.954269409179700,40.778270721435500,1,N,-73.956275939941400,40.784046173095700,1,5,0,0.5,1,0,0.3,6.8
2,2015-01-15 14:00:45,2015-01-15 14:39:09,1,12.63,-73.788528442382800,40.647785186767600,1,N,-73.977882385253900,40.689640045166000,1,40,0,0.5,12,0,0.3,52.8
